,Instrument,Date,Price Open,Price High,Price Low,Price Close,Volume
288,GOOGL.O,2017-02-23T00:00:00Z,851.08,852.62,842.5,851.0,1386681
289,GOOGL.O,2017-02-24T00:00:00Z,847.65,848.36,842.9601,847.81,1346189
290,GOOGL.O,2017-02-27T00:00:00Z,844.95,850.67,843.01,849.67,1010333
291,GOOGL.O,2017-02-28T00:00:00Z,847.35,848.83,841.4422,844.93,1383119
292,GOOGL.O,2017-03-01T00:00:00Z,851.38,858.0,849.02,856.75,1818671
293,GOOGL.O,2017-03-02T00:00:00Z,856.31,856.49,848.72,849.85,1250938
294,GOOGL.O,2017-03-03T00:00:00Z,848.94,850.82,844.705,849.08,1006612
295,GOOGL.O,2017-03-06T00:00:00Z,846.86,848.94,841.17,847.27,1047872
296,GOOGL.O,2017-03-07T00:00:00Z,847.26,853.33,845.52,851.15,1038696
297,GOOGL.O,2017-03-08T00:00:00Z,853.12,856.93,851.25,853.64,1029834
298,GOOGL.O,2017-03-09T00:00:00Z,853.69,860.71,852.67,857.84,1347697
299,GOOGL.O,2017-03-10T00:00:00Z,862.7,864.2289999999999,857.61,861.405,1336585
300,GOOGL.O,2017-03-13T00:00:00Z,860.83,867.13,860.82,864.58,1166605
301,GOOGL.O,2017-03-14T00:00:00Z,863.75,867.58,860.13,865.91,1061692
302,GOOGL.O,2017-03-15T00:00:00Z,867.94,869.88,861.295,868.39,1332885
303,GOOGL.O,2017-03-16T00:00:00Z,870.53,872.71,867.52,870.0,1104452
304,GOOGL.O,2017-03-17T00:00:00Z,873.68,874.42,868.37,872.37,1868252
305,GOOGL.O,2017-03-20T00:00:00Z,869.48,870.34,864.665,867.91,1542199
306,GOOGL.O,2017-03-21T00:00:00Z,870.06,873.47,847.687,850.14,2537978
307,GOOGL.O,2017-03-22T00:00:00Z,849.48,855.35,847.0,849.8,1366749
308,GOOGL.O,2017-03-23T00:00:00Z,841.39,841.69,833.0,839.65,3287669
309,GOOGL.O,2017-03-24T00:00:00Z,842.0,844.0,829.1,835.14,2105682
310,GOOGL.O,2017-03-27T00:00:00Z,828.09,841.38,824.3,838.51,1935211
