,MKT_Index,SMB_Index,HML_Index,RF_Index,MKT-RF,SMB,HML,RF
19270104,107.422255,94.93074831,101.1389632,101.6574956,0.31,0.17,-0.67,0.01
19270105,107.5726462,95.33895052,100.8254324,101.6676613,0.14,0.43,-0.31,0.01
19270106,107.3897727,95.31988273,100.9464229,101.6778281,-0.17,-0.02,0.12,0.01
19270107,107.711942,95.09111502,101.3703979,101.6879959,0.3,-0.24,0.42,0.01
19270108,108.1320186,94.93896923,101.6238239,101.6981647,0.39,-0.16,0.25,0.01
19270110,108.2834034,95.00542651,101.7254477,101.7083345,0.14,0.07,0.1,0.01
19270111,107.9802099,94.66340698,102.5799415,101.7185053,-0.28,-0.36,0.84,0.01
19270112,108.055796,94.64447429,102.5389095,101.7286772,0.07,-0.02,-0.04,0.01
19270113,108.0125737,94.79590545,102.2928161,101.73885,-0.04,0.16,-0.24,0.01
19270114,108.06658,94.00909944,103.2032222,101.7490239,0.05,-0.83,0.89,0.01
19270115,108.2070665,94.10310854,104.0804496,101.7591988,0.13,0.1,0.85,0.01
19270117,108.1637837,93.96195387,104.8402369,101.7693747,-0.04,-0.15,0.73,0.01
19270118,108.0988855,93.72704899,104.8716889,101.7795517,-0.06,-0.25,0.03,0.01
19270119,108.7582887,93.70830358,104.0956384,101.7897296,0.61,-0.02,-0.74,0.01
19270120,108.5733996,93.47403282,104.2309628,101.7999086,-0.17,-0.25,0.13,0.01
19270121,108.5625422,94.01618221,105.5234267,101.8100886,-0.01,0.58,1.24,0.01
19270122,108.1717171,94.24182105,105.903311,101.8202696,-0.36,0.24,0.36,0.01
19270124,107.6524928,94.64706088,107.4600897,101.8304516,-0.48,0.43,1.47,0.01
19270125,106.5006112,94.19275499,106.0846006,101.8406347,-1.07,-0.48,-1.28,0.01
19270126,106.7029623,94.29636702,106.5938066,101.8508187,0.19,0.11,0.48,0.01
19270127,106.3295019,94.29636702,106.156772,101.8610038,-0.35,0,-0.41,0.01
19270128,106.4996292,94.43781157,106.9741792,101.8711899,0.16,0.15,0.77,0.01
19270129,107.2770764,94.07894788,106.6211644,101.881377,0.73,-0.38,-0.33,0.01
19270131,107.9314666,94.17302683,106.5998401,101.8915652,0.61,0.1,-0.02,0.01
19270201,107.9206735,94.70039578,107.7511184,101.9037922,-0.01,0.56,1.08,0.012
19270202,108.6761182,94.48258487,107.8804198,101.9160206,0.7,-0.23,0.12,0.012
19270203,108.8608676,94.65265352,107.8049035,101.9282505,0.17,0.18,-0.07,0.012
19270204,109.2636528,94.77570197,109.2494892,101.9404819,0.37,0.13,1.34,0.012
19270205,109.0669782,95.09793936,109.7520368,101.9527148,-0.18,0.34,0.46,0.012
19270207,108.9251911,95.68754658,110.3227474,101.9649491,-0.13,0.62,0.52,0.012
19270208,109.0341163,95.88849043,111.4259749,101.9771849,0.1,0.21,1,0.012
19270209,109.07773,95.01590517,110.8242746,101.9894222,0.04,-0.91,-0.54,0.012
19270210,109.1649922,95.32945766,110.0485047,102.0016609,0.08,0.33,-0.7,0.012
19270211,109.5034036,94.82421153,109.4762525,102.0139011,0.31,-0.53,-0.52,0.012
19270214,110.0399703,94.73886974,109.082138,102.0261428,0.49,-0.09,-0.36,0.012
19270215,110.1500103,94.48307479,108.9185148,102.0383859,0.1,-0.27,-0.15,0.012
19270216,110.1279803,94.47362648,110.6176436,102.0506305,-0.02,-0.01,1.56,0.012
19270217,110.3922874,94.53031066,111.5910789,102.0628766,0.24,0.06,0.88,0.012
19270218,110.7455428,93.83078636,111.4683287,102.0751241,0.32,-0.74,-0.11,0.012
19270219,110.7566173,94.19672643,110.9444275,102.0873731,0.01,0.39,-0.47,0.012
19270221,110.5683311,94.36628054,109.9570221,102.0996236,-0.17,0.18,-0.89,0.012
19270223,111.364423,94.07374507,109.8030823,102.1118756,0.72,-0.31,-0.14,0.012
19270224,111.5203332,94.38418843,109.9128854,102.124129,0.14,0.33,0.1,0.012
19270225,111.7545259,94.60127206,109.5062077,102.1363839,0.21,0.23,-0.37,0.012
19270226,111.8327541,94.38368913,109.4733558,102.1486403,0.07,-0.23,-0.03,0.012
19270228,112.4478343,93.9684009,109.7470392,102.1608981,0.55,-0.44,0.25,0.012
19270301,111.9980429,93.94960722,109.1544052,102.1721358,-0.4,-0.02,-0.54,0.011
19270302,110.7212652,93.82747273,108.7941957,102.1833747,-1.14,-0.13,-0.33,0.011
19270303,111.8506221,93.78055899,108.8594722,102.1946149,1.02,-0.05,0.06,0.011
19270304,111.3472943,93.95874206,108.696183,102.2058563,-0.45,0.19,-0.15,0.011
19270305,111.0800608,94.54128626,108.2070502,102.217099,-0.24,0.62,-0.45,0.011
19270307,110.6690646,94.4561991,107.5686286,102.2283428,-0.37,-0.09,-0.59,0.011
19270308,110.8018675,93.93669,107.224409,102.239588,0.12,-0.55,-0.32,0.011
19270309,111.3447966,94.11516972,107.5675271,102.2508343,0.49,0.19,0.32,0.011
19270310,111.8569827,94.20928489,108.0623377,102.2620819,0.46,0.1,0.46,0.011
19270311,112.0471396,93.97376167,108.3324935,102.2733307,0.17,-0.25,0.25,0.011
19270312,112.0023207,93.91737742,108.1266618,102.2845808,-0.04,-0.06,-0.19,0.011
19270314,112.2039249,93.97372784,107.2724612,102.2958321,0.18,0.06,-0.79,0.011
19270315,111.2950731,93.81397251,106.8433713,102.3070847,-0.81,-0.17,-0.4,0.011
19270316,112.4302828,93.26985146,106.7578966,102.3183384,1.02,-0.58,-0.08,0.011
19270317,112.90249,92.99004191,106.3415408,102.3295934,0.42,-0.3,-0.39,0.011
19270318,112.0105604,93.10162996,105.9055405,102.3408497,-0.79,0.12,-0.41,0.011
19270319,112.0553646,93.0923198,105.6831389,102.3521072,0.04,-0.01,-0.21,0.011
19270321,112.2458587,92.55238434,105.7148438,102.3633659,0.17,-0.58,0.03,0.011
19270322,111.0560526,92.73748911,105.1545551,102.3746259,-1.06,0.2,-0.53,0.011
19270323,111.2670591,92.65402537,105.7539361,102.3858871,0.19,-0.09,0.57,0.011
19270324,112.0236751,92.57063675,105.8068131,102.3971496,0.68,-0.09,0.05,0.011
19270325,112.202913,92.98720461,105.4576506,102.4084132,0.16,0.45,-0.33,0.011
19270326,112.5844029,93.13598414,105.6158371,102.4196782,0.34,0.16,0.15,0.011
19270328,113.1698418,92.90314418,105.6897682,102.4309443,0.52,-0.25,0.07,0.011
19270329,112.9095511,92.78237009,105.2775781,102.4422117,-0.23,-0.13,-0.39,0.011
19270330,112.2095119,92.8844307,106.58302,102.4534804,-0.62,0.11,1.24,0.011
19270331,112.5461405,92.0856246,107.1798849,102.4647503,0.3,-0.86,0.56,0.011
19270401,112.4898674,91.92907903,106.8154733,102.4749967,-0.05,-0.17,-0.34,0.01
19270402,112.3998755,92.10374428,106.8688811,102.4852442,-0.08,0.19,0.05,0.01
19270404,112.9955948,91.86427455,108.119247,102.4954928,0.53,-0.26,1.17,0.01
19270405,113.6622688,91.61624101,108.119247,102.5057423,0.59,-0.27,0,0.01
19270406,113.7872973,91.52462477,108.0651874,102.5159929,0.11,-0.1,-0.05,0.01
19270407,114.0603869,91.22259351,108.410996,102.5262445,0.24,-0.33,0.32,0.01
19270408,114.4139741,91.52362806,108.3676316,102.5364971,0.31,0.33,-0.04,0.01
19270409,114.4482982,91.39549499,108.7035712,102.5467508,0.03,-0.14,0.31,0.01
19270411,114.66575,91.41377408,108.5405159,102.5570054,0.19,0.02,-0.15,0.01
19270412,114.3332193,91.95311535,108.4211213,102.5672611,-0.29,0.59,-0.11,0.01
19270413,114.5733191,92.06345909,107.1851205,102.5775179,0.21,0.12,-1.14,0.01
19270414,114.6764351,92.42250658,106.9814688,102.5877756,0.09,0.39,-0.19,0.01
19270416,114.8828527,92.94007262,107.1740354,102.5980344,0.18,0.56,0.18,0.01
19270418,114.8483878,92.80995652,107.9671233,102.6082942,-0.03,-0.14,0.74,0.01
19270419,115.0551149,92.75427054,108.2910247,102.618555,0.18,-0.06,0.3,0.01
19270420,115.3657637,92.40180431,109.2981312,102.6288169,0.27,-0.38,0.93,0.01
19270421,115.7810805,92.13383908,108.4674654,102.6390798,0.36,-0.29,-0.76,0.01
19270422,115.8621272,91.81137064,108.5108524,102.6493437,0.07,-0.35,0.04,0.01
19270423,115.4334374,92.03171793,108.5217035,102.6596086,-0.37,0.24,0.01,0.01
19270425,113.6326757,92.15135917,108.6519295,102.6698746,-1.56,0.13,0.12,0.01
19270426,114.2917453,92.16978944,108.1847262,102.6801415,0.58,0.02,-0.43,0.01
19270427,113.8574366,92.23430829,108.3902772,102.6904096,-0.38,0.07,0.19,0.01
19270428,112.5936191,92.40033005,108.0434283,102.7006786,-1.11,0.18,-0.32,0.01
19270429,113.1340684,92.38184998,107.8489501,102.7109487,0.48,-0.02,-0.18,0.01
19270430,113.122755,92.57585187,107.7842408,102.7212198,-0.01,0.21,-0.06,0.01
19270502,113.4281865,92.77026115,108.3123835,102.7335463,0.27,0.21,0.49,0.012
19270503,114.2675551,92.78881521,107.6191843,102.7458743,0.74,0.02,-0.64,0.012
19270504,115.158842,92.6403531,107.8021369,102.7582038,0.78,-0.16,0.17,0.012
19270505,115.5043185,92.90901013,107.4679503,102.7705348,0.3,0.29,-0.31,0.012
19270506,115.8277306,92.76964661,108.4136682,102.7828673,0.28,-0.15,0.88,0.012
19270507,116.1520483,93.02940162,107.9366481,102.7952012,0.28,0.28,-0.44,0.012
19270509,116.3843524,93.11312808,108.357601,102.8075367,0.2,0.09,0.39,0.012
19270510,116.3028833,93.00139233,108.4984659,102.8198736,-0.07,-0.12,0.13,0.012
19270511,116.1400593,92.99209219,108.5310154,102.8322119,-0.14,-0.01,0.03,0.012
19270512,116.0123052,92.68521829,108.9217271,102.8445518,-0.11,-0.33,0.36,0.012
19270513,116.5807655,92.60180159,108.6712071,102.8568932,0.49,-0.09,-0.23,0.012
19270514,116.6040817,92.87034681,108.7038085,102.869236,0.02,0.29,0.03,0.012
19270516,115.7645323,93.37184669,108.4755305,102.8815803,-0.72,0.54,-0.21,0.012
19270517,116.3086256,93.41853261,108.7467193,102.8939261,0.47,0.05,0.25,0.012
19270518,116.9017996,92.85802141,108.8337167,102.9062734,0.51,-0.6,0.08,0.012
19270519,117.123913,92.47730353,108.6486994,102.9186221,0.19,-0.41,-0.17,0.012
19270520,117.6275458,91.9501829,109.0072401,102.9309723,0.43,-0.57,0.33,0.012
19270521,117.8863264,92.11569323,109.1380488,102.9433241,0.22,0.18,0.12,0.012
19270523,118.0631559,92.54863698,109.9784117,102.9556773,0.15,0.47,0.77,0.012
19270524,117.8978675,92.80777317,110.858239,102.9680319,-0.14,0.28,0.8,0.012
19270525,118.0865041,93.48526991,111.3460153,102.9803881,0.16,0.73,0.44,0.012
19270526,118.2163992,93.4478758,111.9361492,102.9927458,0.11,-0.04,0.53,0.012
19270527,118.7365514,93.78428816,111.9249556,103.0051049,0.44,0.36,-0.01,0.012
19270528,118.8790352,94.40326446,112.4062329,103.0174655,0.12,0.66,0.43,0.012
19270531,119.1762328,93.81796422,112.9008203,103.0298276,0.25,-0.62,0.44,0.012
19270601,119.5575968,93.74290985,113.137912,103.0401306,0.32,-0.08,0.21,0.01
19270602,119.6532428,93.59292119,113.4546982,103.0504346,0.08,-0.16,0.28,0.01
19270603,118.6002943,93.78010703,112.7058972,103.0607396,-0.88,0.2,-0.66,0.01
19270604,119.1102756,93.90202117,112.9313089,103.0710457,0.43,0.13,0.2,0.01
19270606,119.717738,94.10860562,114.2864847,103.0813528,0.51,0.22,1.2,0.01
19270607,119.3705565,94.63561381,114.046483,103.0916609,-0.29,0.56,-0.21,0.01
19270608,119.7047941,94.52205107,114.5254783,103.1019701,0.28,-0.12,0.42,0.01
19270609,119.7287351,94.70164297,113.6665372,103.1122803,0.02,0.19,-0.75,0.01
19270610,119.2737659,94.83422527,113.280071,103.1225915,-0.38,0.14,-0.34,0.01
19270611,119.1425647,94.56868944,113.0308548,103.1329038,-0.11,-0.28,-0.22,0.01
19270614,117.343512,94.59706005,112.2509419,103.1432171,-1.51,0.03,-0.69,0.01
19270615,118.3761349,94.66327799,112.5315693,103.1535314,0.88,0.07,0.25,0.01
19270616,119.1100669,94.31302386,112.3290124,103.1638468,0.62,-0.37,-0.18,0.01
19270617,119.300643,94.93548982,113.4635355,103.1741631,0.16,0.66,1.01,0.01
19270618,119.1574823,95.11586725,114.0989313,103.1844806,-0.12,0.19,0.56,0.01
19270620,118.9429988,95.52486548,113.4599772,103.194799,-0.18,0.43,-0.56,0.01
19270621,118.5266983,95.21918591,113.9818931,103.2051185,-0.35,-0.32,0.46,0.01
19270622,118.5148456,95.24775166,113.3321963,103.215439,-0.01,0.03,-0.57,0.01
19270623,117.495618,94.83818633,112.436872,103.2257605,-0.86,-0.43,-0.79,0.01
19270624,117.6483623,94.79076724,112.7741826,103.2360831,0.13,-0.05,0.3,0.01
19270625,117.5307139,94.6864974,112.9095116,103.2464067,-0.1,-0.11,0.12,0.01
19270627,116.0968392,94.17519031,112.1755998,103.2567314,-1.22,-0.54,-0.65,0.01
19270628,116.398691,94.15635527,111.9736837,103.267057,0.26,-0.02,-0.18,0.01
19270629,116.4336106,94.25992726,111.4138153,103.2773837,0.03,0.11,-0.5,0.01
19270630,116.3288203,94.23164928,111.1909877,103.2877115,-0.09,-0.03,-0.2,0.01
19270701,117.0849577,94.25049561,111.0797967,103.300106,0.65,0.02,-0.1,0.012
19270702,117.7289249,94.514397,111.2575244,103.312502,0.55,0.28,0.16,0.012
19270705,118.7178479,94.11743653,111.4244106,103.3248995,0.84,-0.42,0.15,0.012
19270706,119.430155,94.32449489,111.3686984,103.3372985,0.6,0.22,-0.05,0.012
19270707,119.1315796,94.45654919,111.3352878,103.349699,-0.25,0.14,-0.03,0.012
19270708,118.9171428,94.07872299,111.4800237,103.362101,-0.18,-0.4,0.13,0.012
19270709,119.1193019,94.26688044,111.3573957,103.3745044,0.17,0.2,-0.11,0.012
19270711,119.5957791,93.77669266,111.7026036,103.3869093,0.4,-0.52,0.31,0.012
19270712,119.9904452,93.40158589,112.2499464,103.3993158,0.33,-0.4,0.49,0.012
